INT_PO_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
EXT_PO_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
PMR_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
INT_PMR_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
EXT_PMR_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
OP_OPEN_DOOR_CMD;2;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;;;
GAP_OPEN_DOOR_CMD;2;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;;;
INT_OPEN_SAFETY_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
EXT_OPEN_SAFETY_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
INT_CLOSE_SAFETY_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
EXT_CLOSE_SAFETY_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
API_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
FP_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
FP_VM_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
